Deme,Tribe,Quota,Trittys,Iscrs,Theater,Demarchs,Active,Index,no. of names,Trierarch,Fest Liturgy,on Diadikasia,Wealthy,polit active,Allotment plates
Hagnous,V,5,I,,,,1,7,7,6,,,1,2,3
Prospalta,V,5,I,,,,,5,3,3,,,1,,3
Sphettos,V,5,I,1,,2,1,12,11,8,4,1,1,9,3
Athmonon,VII,5,I,3,,1,45,30,12,8,1,3,,,4
Thorikos,V,5.5,C,1,1,,,40,8,6,2,1,,4,
Anagyrous,I,6,C,1,1,1,,21,17,12,5,2,,4,3
Kephisia,I,6,I,1,,,,9,22,14,4,4,3,4,3
Myrrhinous,III,6,C,2,1,,2,43,10,7,2,,1,2,
Kerameis,V,6,U,1,,1,,16,13,8,2,2,1,4,2
Halai Aixonides,VII,6,C,9,,2,33,56,7,3,3,1,1,,
Aigilia,X,6,C,,1,,3,8,1,1,,,,,2
Erchia,II,6.5,I,2,,,1,43,16,14,2,,1,6,7
Oe,VI,6.5,C,,,,1,6,7,6,1,,,2,1
Pallene,X,6.5,I,,,,,5,12,8,3,1,1,6,1
Thria,VI,7,C,,,,1,6,4,4,,,,1,3
Melite,VII,7,U,4,,1,13,35,9,7,2,,2,2,3
Phyla,VII,7,I,1,,,,11,2,2,,,,1,7
Xypete,VII,7,U,1,,,8,13,6,4,2,,1,,
Aixone,VII,8,C,9,1,4,33,78,11,10,3,,3,5,1
Rhamnous,IX,8,C,16,1,6,17,62,8,5,2,,1,6,
"Lamptrai, Lower",I,9,C,1.5,,,1.5,11,,,,,,,
Phrearrhioi,IV,9,C,,,,,13,9,7,1,,2,,1
Kephale,V,9,C,,,,1,10,11,9,,1,1,2,1
Peiraieus,VIII,9,U,7,1,1,6,84,5,5,1,,,2,2
Phaleron,IX,9,U,1,,1,5,19,4,2,1,,1,2,10
Euonymon,I,10,U,,1,,,12,20,12,1,4,3,4,6
Marathon,IX,10,C,1,,,,27,7,6,,1,,2,
Alopeke,X,10,U,,,,,13,21,8,4,,9,8,3
Anaphlystos,X,10,C,,,,,9,8,6,1,,2,4,1
"Paiania, Lower",III,11,I,1,1,,1,12.5,,21,7,,,13,
Eleusis,VIII,11,C,23,1,5,20,112,14,10,1,2,1,5,4
Kydathenaion,III,11.5,U,1,,,1,15,24,10,7,2,5,4,
Aphidna,IX,16,I,,,1,2,15,19,14,3,2,,8,1
Acharnai,VI,22,I,4,1,1,15,58,37,27,7,3,1,11,9
